Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
,,68,,,,,,,US 12015146 B2,6/18/2024,70465255,35,Compositions and methods for multilayer dry coated and wet cast film hybrid electrode films,H01G11/28;H01M4/621;H01M4/366;H01G11/86;H01M4/02;H01G11/26;H01G11/38;H01M4/8896,Y02E60/10;Y02E60/50;Y02T10/70,Shin; Joon Ho et al.,"Tesla, Inc.",18/358814,7/25/2023,Walke; Amanda C.,,1-Jan,,"Tesla, Inc.",,,6.8898296,
,,69,,,,,,,US 20240204713 A1,6/20/2024,89767435,28,PHOTOVOLTAIC ROOFING TILE BASE,H02S40/34;H02S20/25,Y02E10/50;E04D2001/3494;E04D1/16;E04D1/30;E04D1/18;Y02B10/10,RODRIGUES; Tommy F. et al.,,18/544323,12/18/2023,,,1-Jan,,"Tesla, Inc.",,,7.4063015,
,1,70,,,,,,,US 12020476 B2,6/25/2024,63582528,22,Data synthesis for autonomous control systems,B60R11/04;G06V10/82;G05D1/81;G05D1/0088;B60W40/02;G06F18/241;G06F18/2148;G06V10/764;G06F30/20;G01S7/4052;G06V20/58,G01S17/86;G01S2013/9323;G01S13/931;G01S13/865;G01S7/4802;G06F30/15;G01S17/931;B60R2300/301;G01S13/867;G01S7/417,Iandola; Forrest Nelson et al.,"Tesla, Inc.",18/050859,10/28/2022,Troost; Aaron L,,1-Jan,,"Tesla, Inc.",,,6.5524263,
,,71,,,,,,,US 20240218711 A1,7/4/2024,83996918,16,ELECTROMAGNETIC LATCH FOR VEHICLE STORAGE ASSEMBLY,E05C19/16;E05B81/08;E05B17/22;E05C19/166;E05B83/30;E05B81/56;E05B77/12;E05B77/22,,Trivedi; Shail et al.,,18/292303,10/4/2022,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,72,,,,,,,US 20240222689 A1,7/4/2024,91666241,103,BATTERY SYSTEMS BASED ON LITHIUM DIFLUOROPHOSPHATE,H01M4/525;H01M4/131;H01M4/505;H01M10/0525;H01M10/0567;H01M10/0568;H01M4/366;H01M10/0569,H01M2220/20;H01M2300/0037;Y02E60/10,Ma; Lin et al.,,18/605202,3/14/2024,,,1-Jan,,"Tesla, Inc.",,,7.4662375,
,,73,,,,,,,US 12034402 B2,7/9/2024,67614673,30,External electrical contact for solar roof tiles,H02S20/25;H02S40/36;H10F19/00;H02S40/34;H10F77/939;H02S30/10,Y02B10/10;Y02E10/50,Nguyen; Peter P. et al.,"Tesla, Inc.",17/381557,7/21/2021,Kang; Tae-Sik,,1-Jan,,"Tesla, Inc.",,,6.6073217,
,,74,,,,,,,US 20240227558 A1,7/11/2024,82156702,18,DUAL AXIS ROTATIONAL MECHANISM,B60K35/53;B60K35/50;B60K35/22;B60K35/658,B60K2360/816;B60K2360/688,Jin; Ding et al.,,18/560084,5/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.2863073,
,,75,,,,,,,US 20240234243 A1,7/11/2024,82361320,21,ELECTRONIC ASSEMBLIES WITH THERMAL INTERFACE STRUCTURE,H01L24/83;H01L23/373;H01L24/29;H01L23/3735;H01L23/3736;H01L21/4882;H01L24/32;H01L23/42;H01L23/3737,H01L2224/32245;H01L2224/83091;H01L2924/1427;H01L2224/29193;H01L2924/3512,Nabovati; Aydin et al.,,18/560325,5/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.1555796,
,,76,,,,,,,US 12036932 B2,7/16/2024,67213229,50,Wiring system architecture,B60R16/03;B60R16/0238;H05K9/0098;H05K1/0216;B60R16/0207,H01R12/62;H01R13/50;H01R25/162,Chandra; Satyan et al.,"Tesla, Inc.",17/652599,2/25/2022,Amaya; Carlos,,1-Jan,,"Tesla, Inc.",,,6.64041,
,,79,,,,,,,US 20240249571 A1,7/25/2024,91952830,35,SYSTEMS AND METHODS FOR IDENTIFYING SUBSETS OF DATA IN A DATASET,G07C5/0841;G07C5/008,G07C5/0816,Raudonis; Adam et al.,"Tesla, Inc.",18/419234,1/22/2024,,,1-Jan,,"Tesla, Inc.",,,7.2723417,
,,80,,,,,,,US 20240259357 A1,8/1/2024,83898050,17,ENCRYPTED VEHICLE DATA ACCESS,H04L63/0442;H04W12/03;G06F21/62;H04L63/0478,,Dmytryk; Thomas et al.,,18/692265,9/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,,81,,,,,,,US 20240253542 A1,8/1/2024,84425472,18,ENHANCED VEHICLE SEAT VENTILATION AND CONSTRUCTION TECHNIQUES,B60N2/565;B60N2/5685;B60N2/5657;B60N2/7017;B60N2/5642,,Sadoo; Olav et al.,,18/566045,6/7/2022,,,1-Jan,,"Tesla, Inc.",,,7.236702,
,2,82,,,,,,,US 20240262428 A1,8/8/2024,82483282,14,INTEGRATED COMPONENTS FOR VEHICLES,B62D21/16;B62D21/11;B62D25/082;B62D25/088,,Stack; Marcus et al.,,18/566364,6/8/2022,,,1-Jan,,"Tesla, Inc.",,,7.267084,
,,83,,,,,,,US 20240270577 A1,8/15/2024,82156448,8,METHODS OF PRODUCING CATHODE MATERIAL PRECURSORS,C01B25/375;C01G53/42;C01G53/44;C01B25/37;C01G53/04;C01B25/377;H01M4/505;H01M4/525;C01B25/45,Y02E60/10;C01P2006/40;H01M10/0525;H01M4/5825;H01M2004/028,Carpenter; Alex et al.,,18/565492,5/31/2022,,,1-Jan,,"Tesla, Inc.",,,7.498143,
,,84,,,,,,,US 20240278358 A1,8/22/2024,82939790,7,ALUMINUM ALLOYS FOR BRAZABLE CASTING,B23K35/286;C22C21/00,B23K2103/10,Pattinson; Grant et al.,,18/577980,7/22/2022,,,1-Jan,,"Tesla, Inc.",,,6.980731,
,1,85,,,,,,,US 20240278745 A1,8/22/2024,83558331,26,VEHICLE HOOD HINGE ASSEMBLY,B60R21/38;E05F15/75,E05Y2400/44;E05Y2900/536,Rahman; Rafath et al.,,18/292516,9/12/2022,,,1-Jan,,"Tesla, Inc.",,,6.980731,
,,86,,,,,,,US 20240280130 A1,8/22/2024,83690185,26,TAPERED THREAD-FORMING FASTENERS,F16B25/0021;F16B25/0015;F16B37/127;F16B25/0078,,Antoun; Christopher Adam et al.,,18/292171,9/21/2022,,,1-Jan,,"Tesla, Inc.",,,7.1805243,
,,87,,,,,,,US 20240288541 A1,8/29/2024,82748675,16,DETERMINING ANTENNA PHASE CENTER USING BASEBAND DATA,G01S13/343;G01S13/931;G01S13/325;G01S7/4086;G01S7/4026,,Konanur; Anand S. et al.,,18/573061,6/29/2022,,,1-Jan,,"Tesla, Inc.",,,7.1988163,
,,88,,,,,,,US 20240287664 A1,8/29/2024,83191957,31,ULTRA-HARD COLD-WORKED STEEL ALLOY,C22C38/44;C22C38/02;C22C38/58;C21D8/0236;C22C38/04;C21D8/0273;C22C38/001;C22C38/42;C21D8/0268;C21D8/0263,C21D2211/001;C21D2211/008,Komai; Ricardo et al.,,18/294904,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,2,89,,,,,,,US 20240286449 A1,8/29/2024,84370398,12,COMPLIANT MECHANISM FOR SUSPENSION HEIGHT SENSOR,B60G17/019;B60G3/20;B60G7/001,B60G2500/30;B60G2204/143;B60G2204/116,Nordman; Douglas et al.,,18/692987,10/20/2022,,,1-Jan,,"Tesla, Inc.",,,7.267084,
,,90,,,,,,,US 20240292515 A1,8/29/2024,84690841,33,PRESS-FIT FASTENERS FOR SECURING COMPONENTS TOGETHER,H05K1/0213;H05K7/142;H01R12/585;H01R12/52,H05K2201/10227,Hasan; Rameez et al.,,18/572728,6/23/2022,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,,91,,,,,,,US 12078236 B2,9/3/2024,64734376,15,"Electric drive unit with gear shaft, rotor shaft and three bearings",F16H57/0409;F16H57/0424;F16H57/0483;H02K7/116;F16H57/0436;H02K9/193;F16H57/0471;H02K7/003;H02K15/165;B60K17/043;F16H57/0427;H02K5/20;F16H57/0423;F16H57/0412;F16H57/0457;F16H57/0482;H02K7/04;H02K5/203;H02K7/083;B60K1/00;F16C25/083;F16H57/046;F16H57/0402;H02K1/20,B60K17/04;H02K7/006;B60K1/02;B60K2001/001;F16C2326/06;F16H57/037;B60Y2200/91;F16H2057/0325;H02K9/19;B60Y2306/05;B60Y2306/03;F16H2057/02034;B60Y2410/1022,Dellal; Benjamin et al.,"Tesla, Inc.",18/341603,6/26/2023,Almawri; Maged M,,1-Jan,,"Tesla, Inc.",,,6.524166,
,1,92,,,,,,,US 12079723 B2,9/3/2024,69178230,28,Optimizing neural network structures for embedded systems,G05B13/027;G05D1/81;G06F9/45504;G05D1/0221;G06N3/045;G06N3/105;G06N3/08;G06F9/45533;G06N5/01;G05D1/617;G05D1/0088;G06N3/10;G05D1/0214,,Sidhu; Harsimran Singh et al.,"Tesla, Inc.",18/183515,3/14/2023,Slachta; Douglas M,,1-Jan,,"Tesla, Inc.",,,6.8393707,
,,94,,,,,,,US 20240294048 A1,9/5/2024,92545426,16,VEHICLE SUSPENSION CONTROL SYSTEM,B60G17/0195;B60G17/018;B60G17/04;G01C21/3848;G01C21/3815;G01C21/3841;B60G17/0165;G01C21/3461,B60G2800/162;B60G2800/914;B60G2401/16;B60G2400/824;B60G2500/10;B60G2500/20;B60G2401/142;B60G2300/50;B60G2500/30;B60G2400/204;B60G2400/821;B60G2400/102;B60G2600/02;B60G2400/10;B60G2600/0422,Frye; Blane et al.,,18/592982,3/1/2024,,,1-Jan,,"Tesla, Inc.",,,7.270879,
,1,95,,,,,,,US 12086097 B2,9/10/2024,65018702,37,Vector computational unit,G06F9/30043;G06F15/8053;G06F9/3889;G06N3/08;G06F9/30036;G06F9/30038;G06N3/045;G06N3/063;G06F9/3853;G06F15/8092;G06F9/3001;G06F7/5443;G06F9/3887;G06N20/00,G06F15/8023;G06F7/575,Das Sarma; Debjit et al.,"Tesla, Inc.",17/817593,8/4/2022,Caldwell; Andrew,Alli; Kasim,1-Jan,,"Tesla, Inc.",,,6.748295,
,,96,,,,,,,US 12088144 B2,9/10/2024,69374432,14,Stator for an electric motor,H02K1/14;H02K15/022;H02K1/141;H02K1/148;H02K1/146,,Christie; Kalonica et al.,"Tesla, Inc.",18/346091,6/30/2023,Singh; Alexander A,,1-Jan,,"Tesla, Inc.",,,6.777359,
,,97,,,,,,,US 12083875 B2,9/10/2024,73835814,14,Integrated tonneau cover for a vehicle,B60J7/085;B60J7/041;H02J7/35;E05F15/603;B60J7/068;B60R16/033;B60J10/88,E05Y2400/628;E05Y2201/684;E05Y2900/53;E05Y2201/688;E05Y2400/614,Pattabhiraman; Arvind et al.,"Tesla, Inc.",16/953091,11/19/2020,Pedder; Dennis H,,1-Jan,,"TESLA, INC.",,,6.8393707,
,,98,,,,,,,US 20240314980 A1,9/19/2024,80819960,31,COLD PLATE WITH INTEGRATED SLIDING PEDESTAL AND PROCESSING SYSTEM INCLUDING THE SAME,H05K7/20454;H05K7/20254;H05K7/20927;H05K1/0203;H05K7/20272,,Nasr; Mohamed Haitham Helmy et al.,,18/549342,3/1/2022,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,,99,,,,,,,US 20240312863 A1,9/19/2024,82742605,23,ELECTRONIC ASSEMBLIES AND METHODS OF MANUFACTURING THE SAME,H01L23/40;H01L21/4882;H01L23/3675;H05K7/20454;H05K7/209,,Li; Yong guo et al.,,18/576230,6/28/2022,,,1-Jan,,"Tesla, Inc.",,,7.177637,
,1,101,,,,,,,US 12099328 B2,9/24/2024,68054273,10,Holographic decorated glass for screen color matching,G09G3/2003;G03H1/2249;G03H1/0005;G03H1/0244;G03H1/0256;G03H1/2286,G03H2001/2263;G03H2250/33;G03H2222/34;G02F1/133502,Gougoussis; Christos,"Tesla, Inc.",17/945968,9/15/2022,Allen; Stephone B,Dabbi; Jyotsna V,1-Jan,,"Tesla, Inc.",,,6.807437,
,,103,,,,,,,US 12122274 B2,10/22/2024,67983485,14,Vehicle seat with integrated temperature-control system,B60N2/5657;B60N2/70;B60N2/5642;B60N2/5685;B60N2/5614,,Gupta; Gaurang et al.,"Tesla, Inc.",17/444692,8/9/2021,Brindley; Timothy J,,1-Jan,,"Tesla, Inc.",,,6.556578,
,1,104,,,,,,,US 20240351546 A1,10/24/2024,77924528,15,BIASED BAG WRAP FOR RIMLESS STEERING WHEEL,B60R21/2035;B60R21/203;B60R21/201;B60R21/21656,B60R2021/161,FISCHER; Kurt et al.,,18/687455,9/2/2021,,,1-Jan,,"ZF PASSIVE SAFETY SYSTEMS US INC.,TESLA, INC.",,,5.116123,
,,105,,,,,,,US 20240353905 A1,10/24/2024,83188656,10,COMPUTING SYSTEM WITH VERTICAL CLOCK DELIVERY ARCHITECTURE,G06F1/26,,Zhao; Jin et al.,,18/683469,8/15/2022,,,1-Jan,,"Tesla, Inc.",,,7.4662375,
,,106,,,,,,,US 20240357729 A1,10/24/2024,83189021,23,COLD PLATE HAVING OPENING AND RELATED SYSTEMS,H05K1/0204;H05K1/181;H05K7/20254;G06F1/20,H05K2201/064;G06F2200/201;H05K2201/066,Nasr; Mohamed Haitham Helmy et al.,,18/683754,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.1555796,
,2,107,,,,,,,US 20240355132 A1,10/24/2024,83228604,15,VISION-BASED SYSTEM TRAINING WITH SIMULATED CONTENT,G06V10/774;G06V20/588;G06T7/20;G06V10/776;G06V20/70;G06V20/58;G06V20/56;B60W60/001;G06T7/13,G06T2207/20081;B60W2552/53;G06T2207/30252;B60W2420/403;G06T2207/30241,Duan; Pengfei Phil et al.,"Tesla, Inc.",18/684589,8/18/2022,,,1-Jan,,"Tesla, Inc.",,,7.0253067,
,,108,,,,,,,US 20240356867 A1,10/24/2024,83271396,15,COMMUNICATION LATENCY MITIGATION FOR ON-CHIP NETWORKS,G06F13/42;H04L45/745;H04L49/109,,Williams; Douglas R.,,18/683592,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,,109,,,,,,,US 20240357769 A1,10/24/2024,83283086,11,HETEROGENOUS MULTI-LAYER STRUCTURE,H01L25/0652;H01L25/18;H05K7/20772;H01L23/473;H05K7/205;G06F1/20,G06F2200/201;H01L23/5389;H01L2225/06589,Sun; Shishuang et al.,,18/683408,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,,110,,,,,,,US 20240356285 A1,10/24/2024,83283476,27,CONNECTOR SYSTEM FOR CONNECTING PROCESSOR SYSTEMS AND RELATED METHODS,H01R13/6315;G06F1/183;H01R12/716;G06F1/181;H01R13/518,G06F2200/1635,Li; Yong guo et al.,,18/683432,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,6.9458876,
,,111,,,,,,,US 20240356255 A1,10/24/2024,83361175,17,ARRAY OF COMPLIANT CONNECTORS FOR ELECTRONIC ASSEMBLIES,H01R12/716;H01R13/2421;H05K7/20927;H01R13/46;G06F1/183;G06F1/189;G06F1/20,H01R12/714;H01R12/7082;H01R12/7076,Bhandari; Rishabh et al.,,18/683758,8/12/2022,,,1-Jan,,"Tesla, Inc.",,,7.286207,
,,112,,,,,,,US 20240363485 A1,10/31/2024,83149303,12,ELECTRONIC ASSEMBLIES WITH INTERPOSER ASSEMBLY,H01L23/4006;H05K7/20254;H05K7/20927,H01L2023/4087,Li; Yong guo,,18/683335,8/9/2022,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,1,113,,,,,,,US 12136030 B2,11/5/2024,71123119,17,System and method for adapting a neural network model on a hardware platform,G06F18/217;G06N3/063;G06N3/082;G06N3/08;G06F17/16;G06F18/29,,Driscoll; Michael,"Tesla, Inc.",18/185142,3/16/2023,Bali; Vikkram,,1-Jan,,"Tesla, Inc.",,,6.7607536,
,,115,,,,,,,US 20240370070 A1,11/7/2024,83228889,16,MULTI-STAGE ARRAY BASED VERTICALLY INTEGRATED POWER DELIVERY,G06F1/26;G06F1/266,,Zhao; Jin et al.,,18/683342,8/15/2022,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,116,,,,,,,US 20240383297 A1,11/21/2024,83898039,9,SUSPENSION ACTUATOR SYSTEM FOR A VEHICLE,B60G17/0161;B60G17/08;B60G15/062;B60G17/021;B60G17/0165;B60G15/12,B60G2400/821;B60G2202/42;B60G2204/419;B60G2202/314;B60G2600/182;B60G2500/104;B60G2202/312;B60G2500/30;B60G2204/129;B60G2204/62;B60G2800/162;B60G2202/322;B60G2800/916,Doorlag; Brian Lee et al.,,18/690686,9/22/2022,,,1-Jan,,"Tesla, Inc.",,,7.2723417,
,,117,,,,,,,US 20240388629 A1,11/21/2024,83995705,18,VEHICLE DATA ACCESS,H04L65/80;H04L69/164;H04L67/12;H04W4/40;H04L65/762;H04L65/1069,G07C5/008,Gugle; Karan et al.,,18/691001,9/13/2022,,,1-Jan,,"Tesla, Inc.",,,7.189289,
,,118,,,,,,,US 20240383432 A1,11/21/2024,84982438,27,INDUCTIVE SENSING FOR VEHICLE INTERFACES,H03K17/97;B60R21/2035;B60R21/2037;B60Q5/003;H03K17/972;B60R21/015,G01L1/14;H03K2017/9713;G01L5/221,Lau; Pak Heng et al.,,18/722351,12/2/2022,,,1-Jan,,"Tesla, Inc.",,,7.162243,
,,119,,,,,,,US 20240383770 A1,11/21/2024,85222502,15,DOPED CATHODE ACTIVE MATERIALS AND METHODS THEREOF,C01G53/54;H01M4/131;H01M10/052;C01G53/50;H01M10/0525;C01G51/44;H01M4/525,C01P2006/40;C01P2004/62;C01P2004/64;C01P2004/32;C01P2004/03;C01P2006/11;C01P2002/54;Y02E60/10;C01P2004/61;C01P2004/51,Li; Jianyu et al.,,18/689756,1/10/2023,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,2,120,,,,,,,US 12151539 B2,11/26/2024,65231476,20,Technologies for manifolds,B60H1/3223;B60K7/0007;F25B41/40;B60H1/3229,B60K2007/0092;F25B2500/18;B60H1/00571;B60K2001/001,Calderone; John David,"Tesla, Inc.",17/821090,8/19/2022,Duong; Tho V,,1-Jan,,"Tesla, Inc.",,,6.5524263,
,1,121,,,,,,,US 12151673 B2,11/26/2024,73855537,16,Adjustable suspension for a vehicle,B60W30/02;B60G17/0155;B60G17/0165;B60G17/0195;G06F16/9035,B60G2300/04;B60G2300/07;B60G2500/32;B60G2300/09;B60G2204/62;B60G2600/07;B60G2400/60;B60G2600/20;B60G2600/04;B60G2500/30;B60G2300/30;B60G2300/02;B60G2600/042;B60W2510/22,Van Rooyen; Joel et al.,"Tesla, Inc.",17/100713,11/20/2020,Nolan; Peter D,Ning; Peter Y,1-Jan,,"TESLA, INC.",,,6.7607536,
,,122,,,,,,,US 20240396125 A1,11/28/2024,91585522,16,BATTERY PRESSURIZATION SYSTEM,H01M10/488;H01M50/24;H01M10/486;H01M50/204;H01M10/48;H01M50/249;H01M50/333;H01M10/4228;H01M50/317;H01M50/141,Y02E60/10;H01M2220/20;H01M2200/20,Gregoris; Luke David James et al.,,18/672830,5/23/2024,,,1-Jan,,"Tesla, Inc.",,,7.162243,
,,123,,,,,,,US 20240391155 A1,11/28/2024,91585713,18,FIBER COMPOSITE STRUCTURE,B29C45/0005;B29C45/1418;B29C45/14786;B29C43/18;B29C45/14;B29C70/46;B29D99/0003;B29C45/14631;B29C51/004;B29C51/02;B29C51/264,B29K2277/10;B29K2023/12;B29C2793/0027;B29K2077/00;B29C2793/0081;B29K2307/04;B29C2793/0018;B29K2311/10;B29C51/421;B29K2101/12;B29K2105/08;B29K2023/14;B29L2031/30;B29K2105/12;B29K2105/06,Shenk; Kevin et al.,,18/671112,5/22/2024,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,1,124,,,,,,,US 12159981 B2,12/3/2024,67684719,18,Apparatus and method for detection of deformation in battery cells,G01B21/32;G01B5/30;G01B21/10;H01M10/4285;G01B3/18;G01B11/10,Y02E60/10;H01M10/48;H01M10/44,Kahn; Michael,"Tesla, Inc.",18/061092,12/2/2022,Guadalupe-McCall; Yaritza,,1-Jan,,"Tesla, Inc.",,,6.9258575,
,,126,,,,,,,US 20240406094 A1,12/5/2024,83439020,16,BYPASS ROUTING,H04L45/02;H04L45/28;H04L45/18;H04L45/22,H01L2924/00,Williams; Douglas R.,,18/683600,8/16/2022,,,1-Jan,,"Tesla, Inc.",,,7.318183,
,,127,,,,,,,US 20240399865 A1,12/5/2024,84829978,24,INTRUSION PROTECTED USER INTERFACE AND FUNCTIONALITY FOR VEHICLE USING EMBEDDED CONTROLLER,B60K35/28;F16H59/08;B60K35/10;B60W10/10;B60W10/04,B60Y2200/91;B60K2360/11;F16H2063/423;B60K2360/1438,Exe; David et al.,,18/699562,11/10/2022,,,1-Jan,,"Tesla, Inc.",,,7.318183,
,1,128,,,,,,,US 12164310 B2,12/10/2024,69780325,30,Autonomous and user controlled vehicle summon to a target,G05D1/2235;G05D1/0033;G05D1/0044;G01C21/005;G08G1/141;G01C21/3407;G05D1/0088;G05D1/686;G06N20/00;B62D15/0285;G05D1/0221;G05D1/227;G06N3/08;G01C21/206;G05D1/12,,Musk; Elon et al.,"Tesla, Inc.",18/160565,1/27/2023,Reda; Matthew J.,,1-Jan,,"Tesla, Inc.",,,6.8393707,
,,129,,,,,,,US 20240413679 A1,12/12/2024,84330466,15,INTEGRATED COMPONENTS FOR VEHICLES,H02K3/24;H02K1/16;H02K1/20,H02K15/021;Y02T10/64;H02K7/006,Silva; Diego et al.,,18/697827,10/12/2022,,,1-Jan,,"Tesla, Inc.",,,7.318183,
,,130,,,,,,,US 20240409792 A1,12/12/2024,85251940,11,CURABLE ELECTRICAL JOINT COMPOSITION,H01B1/16;C09J183/04;C09J11/04;C09J9/02;H01B1/22;B32B7/12;B32B15/016;C09J5/06,C08K2201/001;C08K2201/005;C08K2003/0893;B32B2250/02;B32B2307/202,Hall-Snyder; Nathaniel et al.,,18/726365,1/4/2023,,,1-Jan,,"Tesla, Inc.",,,7.1988163,
,,131,,,,,,,US 12169443 B2,12/17/2024,67058899,25,Parallel processing system runtime state reload,G06F11/2028;G06F11/0796;G06F11/3013;G06F11/1658;G06F11/181;G06F11/1629;G06F11/183;G06F11/267;G06F9/52;G06F11/1469;G06F11/0724,G06F2201/82;G06F2201/805,Bailey; Daniel William et al.,"Tesla, Inc.",18/061620,12/5/2022,Schell; Joseph O,,1-Jan,,"Tesla, Inc.",,,6.9888678,
,,132,,,,,,,US 20240419393 A1,12/19/2024,84360671,15,VEHICLE AUDIO OUTPUTS,G06F3/165;H04N21/4852;H04N21/41422;H04N21/4307,,Small; Evan et al.,,18/701759,10/20/2022,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,,133,,,,,,,US 20240420513 A1,12/19/2024,84360808,29,PSEUDONYMOUS LOGGING AND DIRECTIVES,G07C5/008;G06F21/6245;H04W4/44;H04L63/0421;G07C5/006,,Wood; Ming et al.,,18/701797,10/20/2022,,,1-Jan,,"Tesla, Inc.",,,7.4063015,
,,134,,,,,,,US 20240420516 A1,12/19/2024,84387765,24,CONDITIONAL VEHICLE DATA ACCESS GRANTING TO THIRD PARTIES BASED ON GEOGRAPHIC INFORMATION OF RELATIVE POSITION BETWEEN VEHICLE AND THIRD PARTIES,H04W4/021;H04L67/12;H04W4/44;H04L67/52;G07C5/008,H04W4/029,Zhang; Theodore et al.,,18/701579,10/20/2022,,,1-Jan,,"Tesla, Inc.",,,7.3090296,
,,135,,,,,,,US 20240418223 A1,12/19/2024,84981642,11,ISOLATED ELECTRIC COUPLER,F16D1/0876;B60K17/04,F16D2300/08,Graves; Scott Michael et al.,,18/701180,11/29/2022,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,136,,,,,,,US 20240419724 A1,12/19/2024,91898289,35,CLIP SEARCH WITH MULTIMODAL QUERIES,H04W4/44;G06F16/56;G06V20/56;G06F16/532;G06F16/538,,Wilson; Matthew et al.,,18/746002,6/17/2024,,,1-Jan,,"Tesla, Inc.",,,7.1988163,
,,137,,,,,,,US 20250007267 A1,1/2/2025,84362053,34,COOLED BUSBAR FOR ELECTRIC POWER DISTRIBUTION,H02G5/10;B60L53/302;B60L53/16,Y02T10/7072;Y02T90/14;Y02T10/70,Prasad; Neil et al.,,18/703911,10/24/2022,,,1-Jan,,"Tesla, Inc.",,,7.4063015,
,2,138,,,,,,,US 20250006602 A1,1/2/2025,91959105,32,SEMICONDUCTOR PACKAGE WITH DIRECTIONAL LOCKING STRUCTURE,H01L24/33;H01L23/49524;H01L24/83;H01L23/49517;H01L23/49568;H01L23/3675;H01L24/32;H01L23/36;H01L23/3135,H01L23/49562;H01L23/04;H01L23/3107;H01L2224/32245;H01L2224/33181;H10D30/00;H01L25/18;H01L21/561;H01L2224/83007;H01L23/49541;H10D48/387,Chi; William Thomas et al.,,18/753963,6/25/2024,,,1-Jan,,"Tesla, Inc.",,,6.980731,
,,139,,,,,,,US 12187222 B2,1/7/2025,66658789,16,Improper seatbelt usage detection,B60R22/48;B60R21/01532,B60R2022/4841;B60R2022/485;B60N2/002;B60R2022/4866;B60R2022/4808;B60R2022/4825;B60R2022/4858;B60R2022/4891;B60R2022/4875;B60R2022/4833;B60R2022/4883,Liau; Forrest Wen,"Tesla, Inc.",18/131316,4/5/2023,Islam; Syed A,,1-Jan,,"Tesla, Inc.",,,6.807437,
,,140,,,,,,,US 20250010760 A1,1/9/2025,84981211,19,VEHICLE RESOURCE CAPACITY MANAGEMENT,B60L58/13;B60L1/00;B60L58/12;B60L58/16;G01R31/387,Y02T10/70,Marangone; Frederic et al.,,18/708736,12/1/2022,,,1-Jan,,"Tesla, Inc.",,,7.177637,
,,141,,,,,,,US 12196330 B2,1/14/2025,67213690,19,Automatic reset flood valve,H01M50/308;F16K31/001;H01M50/24;H01M50/204;H01M50/325;F16K15/148;F16K17/02,Y02E60/10,Hall-Snyder; Nathaniel et al.,"Tesla, Inc.",17/306264,5/3/2021,Godo; Olatunji A,,1-Jan,,"Tesla, Inc.",,,6.64041,
,,142,,,,,,,US 12194913 B2,1/14/2025,80036719,24,Global headlamp,B60Q1/143;B60Q1/085;F21S41/151,B60Q2300/43;B60Q2300/45;B60Q2300/30;B60Q2300/331;B60Q2300/314;B60Q2300/33,Flynn; Robert,"Tesla, Inc.",18/005556,7/28/2021,Gyllstrom; Bryon T,,1-Jan,,"Tesla, Inc.",,,6.5524263,
,,143,,,,,,,US 20250018818 A1,1/16/2025,84981559,17,VEHICLE CHARGING MANAGEMENT BASED ON VARIABLE CHARGING WINDOWS,B60L53/665;B60L53/64;B60L53/11;B60L53/65;B60L53/305,Y02T10/70;Y02T90/12;Y02T10/7072,Swaminathan; Anand et al.,,18/714313,12/1/2022,,,1-Jan,,"Tesla, Inc.",,,7.267084,
,,144,,,,,,,US 20250018822 A1,1/16/2025,85036828,20,MANAGING CHARGING STATIONS BASED ON USAGE DATA,B60L53/67;H02J7/0047;H02J7/0013;B60L53/66;H02J7/00032,B60L2240/70;Y02T10/7072;Y02T10/70;Y02T90/12,Potthast; James,,18/714354,11/29/2022,,,1-Jan,,"Tesla, Inc.",,,7.1988163,
,,145,,,,,,,US 20250028326 A1,1/23/2025,94259913,33,ENHANCED USER INTERFACE GENERATION FOR PARKING BASED ON OCCUPANCY MACHINE LEARNING MODELS,G06T7/70;G05D1/2245;B60W50/00;G06V20/586;G06T7/564;G06V20/56;G06V10/82,,Leung; Brandon et al.,,18/777322,7/18/2024,,,1-Jan,,"Tesla, Inc.",,,7.066786,
,,146,,,,,,,US 20250033537 A1,1/30/2025,85036475,21,AUTOMATIC CHILD SEAT ATTACHMENT SYSTEM,B60N2/2893;B60N2/26;B60N2/005,,Squires; Andrew Robert et al.,,18/717149,12/6/2022,,,1-Jan,,"Tesla, Inc.",,,7.066786,
